timestamp,gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label
1667300650,-0.32,0.71,-0.3,0,0,1,1,Normal
1667300650,-0.23,0.46,-0.25,0,0,1,1,Normal
1667300650,-0.35,-0.08,-0.34,0,0,1,1,Normal
1667300651,0.18,0.05,-0.28,0,0,1,1,Normal
1667300651,-0.1,-0.57,-0.31,-0.01,0,0.99,0.99,Normal
1667300651,-0.31,0.11,-0.34,-0.01,0,0.99,0.99,Normal
1667300651,-0.14,-0.05,-0.28,0,0,0.99,0.99,Normal
1667300651,-0.09,-0.3,-0.25,0,0,0.99,0.99,Normal
1667300651,-0.38,0.15,-0.31,0,0,0.99,0.99,Normal
1667300652,2.4,-3.48,0.94,-0.01,0,0.98,0.98,Normal
1667300652,5.08,-29.37,3.77,-0.01,0,1.02,1.02,Normal
1667300652,3.61,-51.51,3.13,0.07,0.02,1.12,1.12,Normal
1667300652,13.89,-57.84,23.73,0.14,0.11,1.25,1.26,Normal
1667300652,-5.38,-6.1,68.56,0.02,0.14,1.28,1.29,Normal
1667300652,-10.25,70.45,37.18,0.09,0.01,1.12,1.13,Normal
1667300652,37.65,66.62,14.51,0.1,-0.02,1.18,1.18,Normal
1667300653,90.31,-37,17.45,0.29,0.27,1.2,1.26,Normal
1667300653,77.85,-88.75,62.61,0.02,0.81,1.21,1.46,Normal
1667300653,58.82,-50.76,89.77,0.17,0.76,0.98,1.26,Normal
1667300653,61.24,-94.88,38.67,0.41,1.06,1.1,1.59,Normal
1667300653,29.63,-51.8,-32.36,0.48,1.11,1.11,1.64,Normal
1667300653,25.36,-43.85,-64.38,0.65,0.83,0.95,1.42,Normal
1667300653,48.88,-82.55,-39.59,0.65,0.8,0.76,1.28,Normal
1667300654,8.1,-65.29,23.63,0.69,0.86,0.78,1.35,Normal
1667300654,16.37,36.09,41.5,0.67,0.83,0.8,1.33,Normal
1667300654,68.25,49.33,52.7,0.83,0.99,0.77,1.5,Normal
1667300654,63.65,97.63,45.87,0.63,1.28,0.76,1.62,Normal
1667300654,30.71,-140.25,15.65,0.63,1.18,0.78,1.55,Normal
1667300654,13.05,-110.83,-24.09,0.82,1.06,0.65,1.49,Normal
1667300654,-13.92,-60.97,6.32,0.75,0.98,0.61,1.37,Normal
1667300654,-8.75,-26.52,23.86,0.7,1.1,0.47,1.39,Normal
1667300655,8.56,-127.73,-2.61,0.5,1.11,0.51,1.32,Normal
1667300655,-63.6,-120.9,-52.45,0.81,1.24,0.38,1.53,Normal
1667300655,-56.96,-18.24,-114.4,0.8,1.15,0.39,1.45,Normal
1667300655,-8.83,23.4,-36.21,0.75,0.97,0.52,1.33,Normal
1667300655,19.18,32.04,41.43,0.78,1.07,0.64,1.47,Normal
1667300655,41.38,3.26,80.72,0.59,1.17,0.89,1.59,Normal
1667300655,-7.61,-37.55,-2.6,0.1,0.98,0.99,1.39,Normal
1667300656,-25.41,-73.1,-46.8,0.36,0.99,0.93,1.41,Normal
1667300656,-48.7,-98.47,-87.49,0.33,1.05,0.91,1.42,Normal
1667300656,-49.53,-88.97,-91.62,0.39,1.02,0.99,1.47,Normal
1667300656,-55.5,-107.82,-64.37,0.53,0.9,1.01,1.45,Normal
1667300656,-37.78,-50.84,-20.17,0.64,0.81,0.93,1.39,Normal
1667300656,6.29,-8.32,8.28,0.78,0.97,1.13,1.68,Normal
1667300656,8.45,43.5,3.48,0.81,0.73,1.26,1.66,Normal
1667300656,-1.77,27.96,-6.46,0.25,0.81,1.4,1.64,Normal
1667300657,-2.99,-22.03,-2.67,0.68,0.61,1.24,1.54,Normal
1667300657,13.2,9.39,0.08,0.57,0.78,1.13,1.49,Normal
1667300657,3.33,-28.28,3.49,0.52,0.74,1.25,1.54,Normal
1667300657,-3.37,4.51,-0.66,0.6,0.73,1.27,1.58,Normal
1667300657,1.99,18.97,2.01,0.64,0.7,1.25,1.57,Normal
1667300657,-1.68,4.68,-2.5,0.6,0.64,1.44,1.69,Normal
1667300657,-14.52,43.94,-14.07,0.38,0.68,1.43,1.63,Normal
1667300657,-67.05,23.45,-8.7,0.24,0.49,1.31,1.42,Normal
1667300658,-55.27,-50.03,32.29,0.49,0.23,1.31,1.41,Normal
1667300658,-12.62,26.18,48.9,0.54,0.34,1.38,1.52,Normal
1667300658,-19.9,21.8,52.7,0.35,0.35,1.35,1.43,Normal
1667300658,-55.28,49.36,56.91,0.38,0.35,1.41,1.5,Normal
1667300658,-31.81,22.66,74.83,0.36,0.34,1.36,1.45,Normal
1667300658,-28.53,52.63,92.38,0.35,0.44,1.34,1.45,Normal
1667300658,-12.3,63.54,101.7,0.36,0.5,1.26,1.4,Normal
1667300659,-38.02,39.79,80.12,0.32,0.62,1.15,1.35,Normal
1667300659,-41.37,50.32,96.79,0.55,0.61,1.14,1.4,Normal
1667300659,-57.36,106.49,77.9,0.3,0.61,1.06,1.26,Normal
1667300659,-44.49,116.52,78.86,0.15,0.68,0.99,1.22,Normal
1667300659,-52.35,104.16,63.01,0.04,0.85,0.78,1.15,Normal
1667300659,1.02,48.28,109.41,0.43,0.67,0.95,1.24,Normal
1667300659,72.47,-121.79,65.65,0.43,0.85,0.92,1.32,Normal
1667300659,99.31,-197.27,6.6,0.56,0.98,0.91,1.45,Normal
1667300660,37.9,-113.79,-38.16,0.86,1.09,0.88,1.64,Normal
1667300660,33.11,-74.87,-26.76,0.61,1.15,0.62,1.44,Normal
1667300660,21.62,-151.18,31.78,0.45,1.11,0.49,1.29,Normal
1667300660,-51.63,-154.6,-57.37,0.92,1.3,0.31,1.62,Normal
1667300660,-48.62,25.31,-145.73,0.81,1.19,0.41,1.5,Normal
1667300660,-19.45,9.46,-91.3,0.76,1.08,0.46,1.4,Normal
1667300660,2.61,8.62,17.26,0.79,1.02,0.66,1.45,Normal
1667300660,31.56,23.15,120.45,0.83,1.13,0.84,1.63,Normal
1667300661,42.72,52.18,153.84,0.67,1.19,0.73,1.54,Normal
1667300661,34.67,7.29,86.08,0.63,1.13,0.59,1.42,Normal
1667300661,38.64,-19.48,12.27,0.61,1.23,0.63,1.51,Normal
1667300661,-17.12,-39.47,-70.14,0.66,1.06,0.74,1.45,Normal
1667300661,-78.95,-59.08,-146.33,0.83,1.44,0.53,1.74,Normal
1667300661,-79.93,9.56,-128.63,0.85,1.12,0.45,1.48,Normal
1667300661,-46.31,25.11,-51.26,0.8,0.89,0.5,1.3,Normal
1667300661,8.13,30.49,72.74,0.78,1.16,0.52,1.49,Normal
1667300662,-1.8,105.6,123.39,0.74,1.13,0.75,1.55,Normal
1667300662,30.23,31.92,103.69,0.67,1.11,0.57,1.41,Normal
1667300662,46.58,42.9,84.12,0.63,1.12,0.49,1.37,Normal
1667300662,50.51,35.18,49.92,0.6,1.24,0.64,1.52,Normal
1667300662,-18.77,1.12,-60.89,0.68,1.32,0.75,1.67,Normal
1667300662,-63.69,-47.81,-138.96,0.77,1.45,0.56,1.74,Normal
1667300662,-79.76,-19.03,-133.61,0.81,1.17,0.48,1.5,Normal
1667300663,-58.31,8.66,-69.76,0.8,0.91,0.43,1.28,Normal
1667300663,-8.47,47.36,37.59,0.72,0.99,0.58,1.35,Normal
1667300663,-17.49,117.06,103.73,0.79,1.02,0.63,1.44,Normal
1667300663,4.58,26.23,110.21,0.56,1.26,0.63,1.52,Normal
1667300663,26.8,31.37,91.49,0.69,1.07,0.61,1.41,Normal
1667300663,43.72,4.36,67.5,0.55,1.09,0.6,1.36,Normal
1667300663,42.29,-16.5,10.38,0.66,1.45,0.66,1.72,Normal
1667300663,-23.2,-6.81,-114.36,0.66,1.16,0.73,1.52,Normal
1667300664,-84.81,-75.13,-138.54,0.85,1.31,0.56,1.66,Normal
1667300664,-76.2,-15.63,-100.87,0.83,1,0.46,1.38,Normal
1667300664,-27.27,32.18,-7.46,0.78,0.9,0.48,1.28,Normal
1667300664,13.55,55.14,101.9,0.81,1.36,0.48,1.65,Normal
1667300664,7.23,85.81,102.55,0.6,1.17,0.86,1.57,Normal
1667300664,18.32,21.76,77.82,0.76,1.07,0.75,1.51,Normal
1667300664,29.63,60.78,78.43,0.6,1.03,0.66,1.37,Normal
